Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
0,3560,2080,2570,1080,1590,2510,1550,14940
1,3560,2080,2570,1080,1590,2510,1550,14940
2,3560,2190,2620,920,1500,2510,1670,14970
3,3560,2190,2620,920,1500,2510,1670,14970
4,3560,2190,2620,920,1500,2510,1670,14970
5,3560,2190,2620,920,1500,2510,1670,14970
6,3560,2800,2670,920,1450,1420,1780,14600
7,3560,2800,2670,920,1450,1420,1780,14600
8,3560,2800,2670,920,1450,1420,1780,14600
9,3560,3380,2720,1150,1810,1420,1840,15880
10,3560,3380,2720,1150,1810,1420,1840,15880
11,3560,3380,2720,1150,1810,1420,1840,15880
12,3560,3380,2860,1270,1750,1460,1690,15970
13,3560,3380,2860,1270,1750,1460,1690,15970
14,3560,3380,2860,1270,1750,1460,1690,15970
15,3560,3540,3050,1240,1830,2120,1660,17000
16,3560,3540,3050,1240,1830,2120,1660,17000
17,3560,3540,3050,1240,1830,2120,1660,17000
18,3560,3540,3050,1240,1830,2120,1660,17000
19,3560,3540,3050,1240,1830,2120,1660,17000
20,3560,3540,3050,1240,1830,2120,1660,17000
21,3560,3540,3050,1240,1830,2120,1660,17000
22,3560,3540,3050,1240,1830,2120,1660,17000
23,3560,3540,3050,1240,1830,2120,1660,17000
24,3560,3540,3050,1240,1830,2120,1660,17000
25,3560,3540,3050,1240,1830,2120,1660,17000
