Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
0,2060,1180,1180,670,820,1720,370,8000
1,2060,1180,1180,670,820,1720,370,8000
2,2060,1230,1230,540,760,1720,480,8020
3,2060,1230,1230,540,760,1720,480,8020
4,2060,1230,1230,540,760,1720,480,8020
5,2060,1230,1230,540,760,1720,480,8020
6,2060,1770,1280,540,780,620,600,7650
7,2060,1770,1280,540,780,620,600,7650
8,2060,1770,1280,540,780,620,600,7650
9,2060,2030,1330,680,900,620,650,8270
10,2060,2030,1330,680,900,620,650,8270
11,2060,2030,1330,680,900,620,650,8270
12,2060,2110,1470,740,860,460,500,8200
13,2060,2110,1470,740,860,460,500,8200
14,2060,2110,1470,740,860,460,500,8200
15,2060,2130,1660,720,910,680,470,8630
16,2060,2130,1660,720,910,680,470,8630
17,2060,2130,1660,720,910,680,470,8630
18,2060,2130,1660,720,910,680,470,8630
19,2060,2130,1660,720,910,680,470,8630
20,2060,2130,1660,720,910,680,470,8630
21,2060,2130,1660,720,910,680,470,8630
22,2060,2130,1660,720,910,680,470,8630
23,2060,2130,1660,720,910,680,470,8630
24,2060,2130,1660,720,910,680,470,8630
25,2060,2130,1660,720,910,680,470,8630
