Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
0,2400,1450,1770,740,1180,2100,740,10380
1,2400,1450,1770,740,1180,2100,740,10380
2,2400,1560,1820,600,1110,2100,850,10440
3,2400,1560,1820,600,1110,2100,850,10440
4,2400,1560,1820,600,1110,2100,850,10440
5,2400,1560,1820,600,1110,2100,850,10440
6,2400,2120,1870,600,1130,1000,970,10090
7,2400,2120,1870,600,1130,1000,970,10090
8,2400,2120,1870,600,1130,1000,970,10090
9,2400,2500,1910,770,1280,1000,1020,10880
10,2400,2500,1910,770,1280,1000,1020,10880
11,2400,2500,1910,770,1280,1000,1020,10880
12,2400,2600,2060,850,1240,940,870,10960
13,2400,2600,2060,850,1240,940,870,10960
14,2400,2600,2060,850,1240,940,870,10960
15,2400,2620,2250,820,1290,1370,840,11590
16,2400,2620,2250,820,1290,1370,840,11590
17,2400,2620,2250,820,1290,1370,840,11590
18,2400,2620,2250,820,1290,1370,840,11590
19,2400,2620,2250,820,1290,1370,840,11590
20,2400,2620,2250,820,1290,1370,840,11590
21,2400,2620,2250,820,1290,1370,840,11590
22,2400,2620,2250,820,1290,1370,840,11590
23,2400,2620,2250,820,1290,1370,840,11590
24,2400,2620,2250,820,1290,1370,840,11590
25,2400,2620,2250,820,1290,1370,840,11590
