Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
0,3920,1405,1690,760,850,2860,890,12375
1,3920,1405,1690,760,850,2860,890,12375
2,3920,1490,1740,610,800,2740,1090,12390
3,3920,1490,1740,610,800,2740,1090,12390
4,3920,1490,1740,610,800,2740,1090,12390
5,3920,1490,1740,610,800,2740,1090,12390
6,3920,2100,1860,680,940,1680,1110,12290
7,3920,2100,1860,680,940,1680,1110,12290
8,3920,2100,1860,680,940,1680,1110,12290
9,3920,2400,1870,710,1000,2110,1100,13110
10,3920,2400,1870,710,1000,2110,1100,13110
11,3920,2400,1870,710,1000,2110,1100,13110
12,3920,2580,1990,840,1410,1910,1170,13820
13,3920,2580,1990,840,1410,1910,1170,13820
14,3920,2580,1990,840,1410,1910,1170,13820
15,3920,2570,2150,900,1330,2400,1050,14320
16,3920,2570,2150,900,1330,2400,1050,14320
17,3920,2570,2150,900,1330,2400,1050,14320
18,3920,2570,2150,900,1330,2400,1050,14320
19,3920,2570,2150,900,1330,2400,1050,14320
20,3920,2570,2150,900,1330,2400,1050,14320
21,3920,2570,2150,900,1330,2400,1050,14320
22,3920,2570,2150,900,1330,2400,1050,14320
23,3920,2570,2150,900,1330,2400,1050,14320
24,3920,2570,2150,900,1330,2400,1050,14320
25,3920,2570,2150,900,1330,2400,1050,14320
