Years,SPX-TR Yearly,10Y BM Yearly,Cash Yearly,Custom Yearly,Gold Yearly,CAPE Yearly
1871,0.10570,0.08450,0.04380,0.00000,-0.01500,11.86000
1872,0.07430,0.06400,0.05030,0.00000,-0.02210,12.11000
1873,-0.01920,0.13500,0.14670,0.00000,0.06250,11.62000
1874,0.11000,0.15550,0.14390,0.00000,0.07440,11.33000
1875,0.07120,0.11570,0.10100,0.00000,0.05220,11.33000
1876,-0.13960,-0.00170,0.05920,0.00000,0.00880,11.18000
1877,0.10760,0.14940,0.20410,0.00000,0.15000,9.24000
1878,0.24980,0.15100,0.17960,0.00000,0.12790,11.75000
1879,0.22140,-0.08090,-0.11320,0.00000,-0.14710,14.23000
1880,0.25240,0.17420,0.10010,0.00000,0.05000,15.70000
1881,-0.06470,-0.00120,-0.03330,0.00000,-0.07480,17.64000
1882,0.05420,0.07410,0.06930,0.00000,0.01900,15.25000
1883,0.04880,0.16040,0.13680,0.00000,0.08250,15.33000
1884,-0.01010,0.14200,0.17410,0.00000,0.11490,13.78000
1885,0.30030,0.06100,0.05150,0.00000,0.01160,14.60000
1886,0.15090,0.09980,0.06510,0.00000,0.02440,17.62000
1887,-0.05330,-0.02190,0.02100,0.00000,-0.03450,16.99000
1888,0.01870,0.05970,0.05900,0.00000,0.01150,15.32000
1889,0.07820,0.05300,0.06920,0.00000,0.02440,16.68000
1890,-0.14630,-0.03120,0.01280,0.00000,-0.03610,16.58000
1891,0.20550,0.04110,0.09620,0.00000,0.03800,16.31000
1892,-0.00180,-0.02790,-0.00230,0.00000,-0.03750,19.17000
1893,-0.07780,0.16910,0.21240,0.00000,0.12160,15.90000
1894,0.08260,0.09870,0.07570,0.00000,0.04350,16.58000
1895,0.02480,0.06530,-0.00030,0.00000,-0.02820,17.13000
1896,0.02600,0.06360,0.05410,0.00000,0.00000,16.96000
1897,0.13210,0.05760,0.00250,0.00000,-0.02860,17.97000
1898,0.17950,0.00930,0.01850,0.00000,-0.01410,19.48000
1899,-0.12870,-0.08830,-0.11790,0.00000,-0.14460,21.54000
1900,0.13880,0.09840,0.08250,0.00000,0.03750,18.30000
1901,0.11840,-0.00190,0.00300,0.00000,-0.03570,22.73000
1902,-0.05530,-0.08240,-0.03710,0.00000,-0.07780,21.96000
1903,-0.13340,0.08980,0.12580,0.00000,0.07060,17.66000
1904,0.25420,-0.01790,0.01710,0.00000,-0.02250,16.35000
1905,0.16760,0.02400,0.03890,0.00000,0.00000,19.31000
1906,-0.02490,-0.02720,-0.00460,0.00000,-0.05320,18.76000
1907,-0.27020,-0.04790,0.07010,0.00000,0.01090,13.41000
1908,0.32120,0.00800,0.00570,0.00000,-0.04210,13.14000
1909,0.05770,-0.11500,-0.07430,0.00000,-0.10480,14.86000
1910,0.00550,0.10680,0.12500,0.00000,0.07220,13.55000
1911,0.04970,0.03710,0.05910,0.00000,0.02110,14.25000
1912,0.01100,-0.02490,-0.02060,0.00000,-0.05880,13.73000
1913,-0.11020,-0.00640,0.03200,0.00000,-0.02000,11.95000
1914,-0.08780,-0.00390,0.03300,0.00000,-0.00990,10.69000
1915,0.29970,0.01950,0.01390,0.00000,-0.01940,11.50000
1916,-0.01130,-0.07030,-0.07310,0.00000,-0.10340,12.00000
1917,-0.34890,-0.16420,-0.11210,0.00000,-0.14600,8.78000
1918,-0.01340,-0.11750,-0.10380,0.00000,-0.15150,6.47000
1919,0.06460,-0.10730,-0.08140,0.00000,-0.12700,6.59000
1920,-0.18110,0.00730,0.06350,0.00000,-0.00520,5.27000
1921,0.20170,0.22090,0.17550,0.00000,0.09830,5.42000
1922,0.26110,0.05080,0.04280,0.00000,0.00000,7.61000
1923,0.00600,0.00820,0.01620,0.00000,-0.02890,7.82000
1924,0.21490,0.06680,0.04050,0.00000,0.00000,8.47000
1925,0.22200,0.01440,0.00130,0.00000,-0.03350,10.23000
1926,0.12130,0.06420,0.05170,0.00000,0.01130,11.78000
1927,0.41050,0.07300,0.05180,0.00000,0.01160,16.06000
1928,0.45220,0.01970,0.04450,0.00000,0.01170,22.28000
1929,-0.14550,0.04150,0.02340,0.00000,-0.00580,27.61000
1930,-0.25570,0.11390,0.10730,0.00000,0.06210,21.39000
1931,-0.41990,0.05640,0.11230,0.00000,0.08900,14.18000
1932,0.01850,0.21750,0.10240,0.00000,0.09160,7.92000
1933,0.47640,-0.01850,-0.01410,0.00000,-0.02270,11.08000
1934,-0.13270,0.05580,-0.01240,0.00000,-0.01490,12.09000
1935,0.50770,0.01180,-0.01300,0.00000,-0.01450,13.24000
1936,0.22490,0.03440,-0.01270,0.00000,-0.01430,19.33000
1937,-0.39150,-0.01460,-0.01820,0.00000,-0.02080,18.19000
1938,0.32390,0.05470,0.01490,0.00000,0.01430,13.82000
1939,0.06020,0.03790,0.00040,0.00000,0.00000,15.41000
1940,-0.08510,0.04480,-0.01380,0.00000,-0.01420,14.61000
